Neighborhood,MSSubClass,Exterior1st,Exterior2nd,SaleType,MSZoning,SalePrice,Id,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,KitchenQual_MISSING
18,16,13,15,7,5,208500,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21,12,8,6,7,5,181500,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,16,13,15,7,5,223500,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,11,7,5,7,5,140000,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,16,13,15,7,5,250000,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,6,13,15,7,5,143000,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,12,13,15,7,5,307000,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,16,10,10,7,5,200000,8,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,6,11,5,7,3,129900,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,5,8,6,7,5,118000,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,12,10,10,7,5,129500,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,16,6,5,9,5,345000,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,12,10,12,7,5,144000,13,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,12,13,15,9,5,279500,14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,12,8,6,7,5,157000,15,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,4,7,4,7,3,132000,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,7,4,7,5,149000,17,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,7,8,6,7,5,90000,18,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
14,12,13,15,7,5,159000,19,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,11,12,4,5,139000,20,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,16,13,15,9,5,325300,21,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4,7,4,7,3,139400,22,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,12,13,15,7,5,230000,23,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,15,14,16,7,3,129900,24,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
8,12,12,12,7,5,154000,25,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,12,13,15,7,5,256300,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,7,4,7,5,134800,27,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,12,13,15,7,5,306000,28,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,8,6,7,5,207500,29,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,3,8,6,7,3,68500,30,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,11,11,11,7,2,40000,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,12,10,10,7,5,149350,32,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,12,13,15,7,5,179900,33,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,11,11,7,5,165500,34,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26,15,8,6,7,5,277500,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,16,13,15,7,5,309000,36,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,12,13,15,7,5,145000,37,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,7,4,7,5,153000,38,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,12,13,15,7,5,109000,39,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,7,5,12,7,5,82000,40,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
11,12,7,4,7,5,160000,41,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12,13,15,7,5,170000,42,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,8,10,10,7,5,144000,43,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,12,13,15,7,5,130250,44,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,11,4,7,5,141000,45,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,15,8,6,7,5,319900,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,6,13,15,7,5,239686,47,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,13,15,7,6,249700,48,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,8,6,9,3,113000,49,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,12,10,10,7,5,127000,50,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,13,15,7,5,177000,51,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7,6,7,4,7,3,114500,52,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
3,7,7,4,7,3,110000,53,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,12,6,5,7,5,385000,54,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,14,8,6,7,5,130000,55,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,10,12,7,5,180500,56,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,10,8,6,7,6,172500,57,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,13,15,7,5,196500,58,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,16,13,15,9,5,438780,59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18,12,10,10,7,5,124900,60,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,12,13,15,9,5,158000,61,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,13,8,6,7,3,101000,62,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,15,13,15,7,5,202500,63,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,11,9,8,7,3,140000,64,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,16,13,15,7,5,219500,65,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,16,13,15,7,5,317000,66,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,12,12,12,7,5,180000,67,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,12,13,15,7,5,226000,68,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3,8,6,7,3,80000,69,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,6,11,3,7,5,225000,70,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,12,12,7,5,244000,71,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,12,10,12,7,5,129500,72,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,16,13,15,7,5,185000,73,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11,12,7,4,7,5,144900,74,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,6,13,15,7,3,107400,75,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,2,14,16,7,3,91000,76,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,12,13,15,7,5,135750,77,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,6,7,4,7,3,127000,78,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
